,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
159,"City of Palo Alto, California (Utility Company)",14401,Schedule E1 Residential Electric Service,539f6a9eec4f024411ec923b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a9eec4f024411ec923b,Residential,This schedule applies to separately metered single-family residential dwellings receiving retail energy services from the City of Palo Alto. Utility Rate Schedule E-1. This schedule applies to separately metered single-family residential dwellings receiving retail energy services from the City of Palo Alto Utilities.,http://www.cityofpaloalto.org/civicax/filebank/documents/8089,,,,,,
160,Melrose Public Utilities,12286,Rural Service,539f6a9eec4f024411ec9257,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a9eec4f024411ec9257,Residential,,http://www.cityofmelrose.com/vertical/sites/%7BAF56C95E-75FF-4D05-BB11-35590C955A17%7D/uploads/Utilities_Rate_Schedule_-_2014_Adopted.pdf,,,,,,
162,"City of Ellensburg, Washington (Utility Company)",6149,E100 Residential,561bdfd45457a3ce3ca98901,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/561bdfd45457a3ce3ca98901,Residential,Fixed Monthly Charge= Daily Service Charge* 30;(0.5753*30=17.259),http://www.ci.ellensburg.wa.us/index.aspx?nid=321,,,,,,
163,Intercounty Electric Coop Assn,9331,Residential Single-Phase (100 kW and Under),539f6aacec4f024411ec927f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6aacec4f024411ec927f,Residential,,http://www.ieca.coop/RATES/RESIDENTIALANDSMALLCOMMERCIAL/tabid/70/Default.aspx,,,,,,
166,Holmes-Wayne Electric Coop Inc,8761,FARM & RESIDENTIAL,539f6aacec4f024411ec929f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6aacec4f024411ec929f,Residential,"Available to all single phase farm and residential members located within Cooperative's service area for all uses subject to the Cooperative's established Rules and Regulations.

3.	TYPE OF SERVICE

Single phase, 60 hertz, 120/240",http://www.hwecoop.com/Policies/policies.html,,,,,,
169,"City of Hamilton, Ohio (Utility Company)",7977,Residential-Suburban,539f6aadec4f024411ec92cd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6aadec4f024411ec92cd,Residential,"*Summer months: May-September, Winter months: October-April",http://www.hamilton-city.org/Modules/ShowDocument.aspx?documentid=8067,,,,,,
174,"City of St Francis, Kansas (Utility Company)",17872,Residential - Outside City Limits,539f6aadec4f024411ec92ef,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6aadec4f024411ec92ef,Residential,,http://www.stfranciskansas.com/pdf/O_532_-_15-301.pdf,,,,,,
175,Clinton Combined Utility Sys,3804,Residential Rate,539f6aadec4f024411ec92fb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6aadec4f024411ec92fb,Residential,,http://clintonsc.govoffice3.com/vertical/sites/%7B55F7B4D2-DDA3-4E24-B36B-2DCD490E9E5E%7D/uploads/%7BF5DED9F3-C86B-4D4F-A599-C4EADAE14F6D%7D.PDF,,,,,,
176,"City of Newport, Tennessee (Utility Company)",13550,Residential,559546905457a3f220ce826c,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/559546905457a3f220ce826c,Residential,"This rate shall apply only to electric service to a single-family dwelling (including its appurtenances if served through the same meter), where the major use of electricity is for domestic purposes such as lighting, household appliances, and the personal comfort and convenience of those residing therein.

Customer Charge: A flat charge billed each month to recover the cost NU incurs whether power is consumed or not. This includes items such as a pole, transformer, service line, meter, and monthly bill.

Energy Charge: The per kwh charged for each kwh consumed. The fuel charges each month. TVA determines what the fuel costs are each month and provides this information to BU so that we can update the Energy and Fuel Charge accordingly prior to NU calculating your bill.",http://www.newportutilities.com/pdf/Electric%20Rates.pdf,,,,,,Single Phase
180,"City of Longmont, Colorado (Utility Company)",11187,Residential Demand Rate,539f6aadec4f024411ec9323,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc8acec4f024d2f53e94e,Residential,"The Residential Demand Rate (RD) shall be available to all residential meters for all
domestic use in single-family dwellings and individually metered multi-family dwelling
units using electricity as either the primary or secondary source of space heating.

This rate is also available as an option to customers served on the (RE) rate schedule
whose annual energy usage exceeds 15,000 kWh. Such option shall be exercised in
writing to LPC advising of the customer's intent to take advantage of this rate. This
election shall be effective for a minimum of twelve (12) consecutive months.",http://www.ci.longmont.co.us/lpc/gen/rate_study/documents/Electric_BroadbandRatesandRegs2014.pdf,,,,,,
181,"City of Azusa, California (Utility Company)",1050,Residential Service,539f6aadec4f024411ec9329,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb4bfec4f024bc1dbed0d,Residential,"This schedule is applicable to domestic service including lighting, heating, cooking, and power or combination thereof in a single-family accommodation.",http://www.ci.azusa.ca.us/index.aspx?NID=555,,,,,,
182,"United Electric Coop, Inc",22646,Residential,539f6aadec4f024411ec932d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6aadec4f024411ec932d,Residential,,http://www.ueci.coop/content/rates-charges-0,,,,,Secondary,Single Phase
183,"City of New Richmond, Wisconsin (Utility Company)",13481,Rg-1 Residential Service Single Phase,539f6abbec4f024411ec9341,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6abbec4f024411ec9341,Residential,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4139,,,,,,Single Phase
184,"City of Alta, Iowa (Utility Company)",405,Rural Residential,559441235457a3be34ce8273,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/559441235457a3be34ce8273,Residential,,http://www.alta-tec.net/electric_water.html,,,,,,
186,"North Central Elec Coop, Inc",13693,Residential TOD,539f6abbec4f024411ec9349,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6abbec4f024411ec9349,Residential,,http://www.ncelec.org/myAccount/rates.aspx,,,,,,
189,"City of Muscle Shoals, Alabama (Utility Company)",13144,Residential Rate,539f6abbec4f024411ec9363,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6abbec4f024411ec9363,Residential,,http://www.mseb.net/current_rates/index.htm,,,,,,
190,"City of Greenfield, Iowa (Utility Company)",7626,Residential Rates - Outside city limits,539f6abbec4f024411ec9369,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6abbec4f024411ec9369,Residential,"Residential customers for all domestic uses in single-family dwellings, individually metered apartments and individually metered structures on residential property,including motors of not more than 5 horsepower individual capacity.",http://www.gmu-ia.com/dropbox/401/249-Attachments%20to%20Elec%20Service%20Rules.pdf,,,,,,
191,"City of Goodland, Kansas (Utility Company)",7374,Residential- City,539f6abbec4f024411ec9399,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6abbec4f024411ec9399,Residential,,www.cityofgoodland.org/departments/clerk-finance/clerk-forms/doc/1/raw,,,,,,
193,"City of Boulder, Nevada (Utility Company)",2008,Residential Rates,539f6abbec4f024411ec93ab,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6abbec4f024411ec93ab,Residential,,http://www.bcnv.org/?q=resrates,,,,,,
194,"City of Sylvania, Georgia (Utility Company)",18397,Residential Electric - Multi Unit,539f6abbec4f024411ec93b5,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6abbec4f024411ec93b5,Residential,,Rate Binder# 2 (Illinois State University),,,,,,
200,"City of Petoskey, Michigan (Utility Company)",14867,Residential Rate,539f6abcec4f024411ec93f1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6abcec4f024411ec93f1,Residential,Residential Rate,http://www.petoskey.us/,,,,,,
201,North Central Power Co Inc,13697,Residential Service Optional Time-of-Day Rg-2 Option B,539f6acbec4f024411ec93fb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6b53ec4f024411ec9b31,Residential,"This rate schedule is optional for any customer that qualifies for service on the Rg-1, Residential Service rate. The utility may restrict the addition of customers to this tariff to no more than 25 additional customers in a calendar year.",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4190,,,,,,Single Phase
203,"City of Vineland, New Jersey (Utility Company)",19856,Residential,539f6acbec4f024411ec9407,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6acbec4f024411ec9407,Residential,"* Adjustment = Fuel Rate (Effective October 1, 2013--May 31, 2014)",http://www.vinelandcity.org/electric/vmeusite/index_files/Page1808.htm,,,,,,
205,Carroll Electric Member Corp,3081,Residential Service Rate R-2,539f6acbec4f024411ec940d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6acbec4f024411ec940d,Residential,,http://www.cemc.com/Files/R-2%20Residential%202014%201-6-14.pdf,,,,,Secondary,Single and 3-Phase
206,"City of Harbor Springs, Michigan (Utility Company)",8083,Residential Outside City,539f6accec4f024411ec941f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6accec4f024411ec941f,Residential,Residential Outside City,http://www.cityofharborsprings.com/utilities-13/,,,,,,
208,"Beauregard Electric Coop, Inc",1458,Residential Three Phase,539f6accec4f024411ec942f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6accec4f024411ec942f,Residential,"SCHEDULE RS
RESIDENTIAL SERVICE

* Service under this rate schedule is available to residential Members for all non-commercial uses subject to the Standard Terms and Conditions for Electric Service of the Cooperative. 

* The energy charges shall be increased as determined under the Power Cost Adjustment Clause PCA-BE and the Environmental Cost Adjustment Clause ECA-BE.",http://www.beci.org/Images/Interior/rate%20schedules/sch-rs%20rev1.pdf,,,,,,
210,"Town of Templeton, Massachusetts (Utility Company)",18546,Schedule A-2: Residential Time-of-Use,539f6accec4f024411ec943d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6accec4f024411ec943d,Residential,"Time of Use

For any customer presently taking service or eligible to take service under the Light Plant's Schedule A and having installed an off-peak Electric Thermal Storage (ETS) system with the following provisions: -energy consumed during the off-peak periods as defined below will be at this off-peak rate
-loads served under this off-peak provision must be directly controlled by and acceptable to the Light Plant
-loads served under this off-peak provision must make a positive contribution towards the Light Plant's system load factor.  This rate schedule is applicable to all electric service required by the customer exclusively for domestic purposes for individual (single-family) private residences and individually-metered apartment units. The electrical connection of any equipment and/or appliance(s) installed so as to use off-peak energy under this rate must be inspected and approved by the Light Plant. The electrical supply to the off-peak equipment and/or appliance(s) must be controlled by the Light Plant.

The Light Plant's Hydropower Adjustment Clause, M.D.T.E. #136, will apply to all KWH sold under this schedule.",http://www.templetonlight.com/ElectricRatesPrices.html,,,,,,
211,"City of Buffalo, Minnesota (Utility Company)",2485,Residential Rate,539f6accec4f024411ec9443,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6accec4f024411ec9443,Residential,Residential Rate,http://www.ci.buffalo.mn.us/Utilities/Service/servrates.htm,,,,,,
212,Linn County Rural E C A,11053,Residential Service - Rate Code 1,539f6accec4f024411ec9449,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6accec4f024411ec9449,Residential,"Additional Information:
*Minimum Monthly Charge

1. The minimum monthly charge, under the above rates, shall be the Facility Charge where 10 kVA or less of transformer capacity is required.

2. Whenever a transformer of greater capacity than 10 kVA is required to
provide adequate service to a member-consumer, a monthly service charge of
$0.75 per kVA in excess of 10 kVA shall be added to the Facility Charge, for
which service charge kWhs will be furnished.

*Energy Adjustment Clause - Rider No. 1

The energy adjustment clause shall provide for change of the price per kilowatt hour consumed to equal the average cost per kilowatt hour delivered by the utility's system. Prior to each billing cycle the Cooperative shall determine the adjustment amount to be charged for each energy unit consumed under rates set forth by the Iowa Utilities Board. The calculation shall be:
EO = (C2 + C3 + C4 + A2 - B)/
(Q2 + Q3 + Q4 J2 + J3 + J4)

*EO is the energy cost adjustment to be used in the next customer billing cycle rounded on a consistent basis to the nearest $0.0001/kWh. For deliveries at voltages higher than secondary line voltages, appropriate factors should be applied to the energy cost adjustment to recognize the lower losses associated with these deliveries.
*C2, C3, and C4, are the charges by the wholesale suppliers as recorded in account 555 of the Uniform System of Accounts for the first three of the four months prior to the month in which EO will be used.
*Q2, Q3, and Q4, is the total electric energy delivered by the utility system during each of the months in which the expenses C2, C3, and C4, were incurred.
*B is the amount of electric energy cost included in the base rates of the utility's rate schedules.
*A2 is the end of the month energy cost adjustment account balance for the month of consumption J2. This would be the most recent month's balance available from actual accounting data.
*J2, J3, and J4, is the electric energy consumed under rates set by the Iowa Utilities Board in the months corresponding to C2, C3, and C4.
*B = *Test Year Power Cost/ Test Year kWh Sold
*B = $11,292,234/197,177,985 = $0.05727",http://www.linncountyrec.com/files/tariff/Sheet67.pdf,,,,,,
215,"Town of Bargersville, Indiana (Utility Company)",1208,Residential,539f6accec4f024411ec9475,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6accec4f024411ec9475,Residential,Availability: Available for single family residential dwellings. The service will be used strictly as a residence throughout the year and is located on the City's distribution lines suitable and adequate for supplying the service requested.,http://www.townofbargersville.org/files/7113/3037/2541/2009-RATE-SCHEDULE.pdf,,,,,,
220,"City of Alexander City, Alabama (Utility Company)",289,Residential,539f6acdec4f024411ec94b7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6acdec4f024411ec94b7,Residential,,ISU Documentation,,,,,,
221,Citizens Electric Corporation,3600,Residential,55f1e32a5457a3131951fd7b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55f1e32a5457a3131951fd7b,Residential,*Includes religious establishments,http://www.cecmo.com/leftNav/yourHome/rates.aspx,,,,,,
222,"City of Traverse City, Michigan (Utility Company)",19125,Residential Rates,539f6adaec4f024411ec94d3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6adaec4f024411ec94d3,Residential,"Available to single family dwelling, individually metered dwelling units",http://www.tclp.org/Uploads/Residential/residential_service_rates.pdf,,,,,,
223,"City of St Clairsville, Ohio (Utility Company)",17865,Residential,539f6adaec4f024411ec94d7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6adaec4f024411ec94d7,Residential,,http://www.stclairsville.com/utility.shtml,,,,,Secondary,Single Phase
224,"Farmers Electric Company, Ltd",6155,Secure Energy Rate Plan (SERP),539f6adaec4f024411ec94e9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6adaec4f024411ec94e9,Residential,"Residential only 12-month contract.
Sign up available until May 31, 2007, initiated June 2006",Rates Binder A,,,,,,
